00:46:21:514 [ALWAYS]	GUDE Logging Started
00:46:21:514 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:46:21:514 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:46:21:514 [ERROR]	Initialize resume cache pointer failure
00:46:21:515 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
00:46:21:515 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
00:46:23:544 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
00:46:23:545 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:46:23:545 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:46:23:545 [ERROR]	Initialize resume cache pointer failure
00:46:23:545 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
00:46:23:545 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
